tis1099_code,iso3166_2,iso_subdivision_type,hasc,fips_code,wikidata_qid,geonames_id,osm_relation_id,wikipedia_article_url,name_en_canonical,name_th,name_alternates_en,region,capital,capital_th,established_year,predecessor_tis1099_code,centroid_lat,centroid_lon,area_km2,area_rai,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,distance_to_bangkok_km,neighbors,has_international_border,bordering_countries,is_coastal,coastline_length_km,postal_code_prefixes,telephone_area_codes,num_amphoe,num_tambon,notes
10,TH-10,Special Administrative Area,TH.BM,TH40,Q1861,1609348,92277,https://en.wikipedia.org/wiki/Bangkok,Bangkok,กรุงเทพมหานคร,Bang Makok|Bangkok Special Governed District|Krung Thep|Krung Thep Maha Nakhon|Krung Thep Mahanakhon|KrungThepMahaNakhon|Sia-Yut'hia,Central,Bangkok,กรุงเทพมหานคร,,,13.76629,100.62907,1716.5,1072812.5,13.49339,100.32791,13.9512,100.93852,0.0,11|12|13|24|73|74,false,,true,7.9,10,02,50,180,"Bangkok is administratively a special administrative area (เขตการปกครองพิเศษ), not a province. Treated as ADM1 here for compatibility with the dominant downstream join pattern."
11,TH-11,Province,TH.SP,TH42,Q271529,1606589,1908815,https://en.wikipedia.org/wiki/Samut_Prakan_province,Samut Prakan,สมุทรปราการ,SamutPrakan,Central,Samut Prakan,สมุทรปราการ,,,13.59348,100.71411,819.2,512000.0,13.47842,100.45369,13.6969,100.95582,21.3,10|24,false,,true,50.6,10,02,6,50,
12,TH-12,Province,TH.NO,TH38,Q242932,1608132,1908796,https://en.wikipedia.org/wiki/Nonthaburi_province,Nonthaburi,นนทบุรี,Nontha Buri,Central,Nonthaburi,นนทบุรี,,,13.92598,100.39339,633.2,395750.0,13.80023,100.27612,14.12688,100.56755,31.0,10|13|14|73,false,,false,,11,02,6,52,
13,TH-13,Province,TH.PT,TH39,Q459748,1607982,1908797,https://en.wikipedia.org/wiki/Pathum_Thani_province,Pathum Thani,ปทุมธานี,PathumThani,Central,Pathum Thani,ปทุมธานี,,,14.06882,100.69526,1549.0,968125.0,13.91625,100.34404,14.27168,100.95112,34.4,10|12|14|19|24|26,false,,false,,12,02,7,60,
14,TH-14,Province,TH.PA,TH36,Q476222,1607530,1908806,https://en.wikipedia.org/wiki/Phra_Nakhon_Si_Ayutthaya_province,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Ayutthaya|PhraNakhonSiAyutthaya,Central,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,,,14.3376,100.52001,2496.8,1560500.0,14.11503,100.2129,14.66992,100.8215,64.6,12|13|15|16|19|72|73,false,,false,,13,035,16,209,
15,TH-15,Province,TH.AT,TH35,Q243795,1621034,1908765,https://en.wikipedia.org/wiki/Ang_Thong_province,Ang Thong,อ่างทอง,AngThong,Central,Ang Thong,อ่างทอง,,,14.61528,100.35017,946.6,591625.0,14.4595,100.19173,14.79505,100.50341,99.1,14|16|17|72,false,,false,,14,035,7,73,
16,TH-16,Province,TH.LB,TH34,Q336122,1609031,1908784,https://en.wikipedia.org/wiki/Lopburi_province,Lopburi,ลพบุรี,Loburi|Lop Buri,Central,Lopburi,ลพบุรี,,,15.10653,100.90261,6521.0,4075625.0,14.65505,100.42749,15.75302,101.40356,151.9,14|15|17|19|30|36|60|67,false,,false,,13|15|18,036,11,124,
17,TH-17,Province,TH.SB,TH33,Q334836,1606269,1908820,https://en.wikipedia.org/wiki/Sing_Buri_province,Sing Buri,สิงห์บุรี,SingBuri,Central,Sing Buri,สิงห์บุรี,,,14.90962,100.33995,807.5,504687.5,14.7211,100.2027,15.11841,100.45794,130.9,15|16|18|60|72,false,,false,,16,036,6,43,
18,TH-18,Province,TH.CN,TH32,Q459759,1611415,1908768,https://en.wikipedia.org/wiki/Chai_Nat_province,Chai Nat,ชัยนาท,ChaiNat,Central,Chai Nat,ชัยนาท,,,15.13292,100.03932,2447.6,1529750.0,14.90697,99.72377,15.41736,100.35152,164.7,17|60|61|72,false,,false,,17,056,8,53,
19,TH-19,Province,TH.SR,TH37,Q337627,1606417,1908818,https://en.wikipedia.org/wiki/Saraburi_province,Saraburi,สระบุรี,Sara Buri,Central,Saraburi,สระบุรี,,,14.62567,101.01942,3576.7,2235437.5,14.24275,100.60228,15.07379,101.45016,104.4,13|14|16|26|30,false,,false,,18,036,13,111,
20,TH-20,Province,TH.CB,TH46,Q207068,1611108,1908773,https://en.wikipedia.org/wiki/Chonburi_province,Chon Buri,ชลบุรี,ChonBuri,East,Chon Buri,ชลบุรี,,,13.20649,101.20533,4459.6,2787250.0,12.64836,100.85269,13.58429,101.71714,88.1,21|22|24,false,,true,78.2,20,038,11,92,
21,TH-21,Province,TH.RY,TH47,Q335221,1607016,1908812,https://en.wikipedia.org/wiki/Rayong_province,Rayong,ระยอง,,East,Rayong,ระยอง,,,12.85585,101.42339,3744.8,2340500.0,12.64234,100.99226,13.1466,101.82929,132.8,20|22,false,,true,62.5,21|22,038,8,58,
22,TH-22,Province,TH.CT,TH48,Q327730,1611268,1908770,https://en.wikipedia.org/wiki/Chanthaburi_province,Chanthaburi,จันทบุรี,Chantha Buri,East,Chanthaburi,จันทบุรี,,,12.88478,102.13092,6593.6,4121000.0,12.29292,101.69577,13.33609,102.50762,189.8,20|21|23|24|27,true,Cambodia,true,75.2,22,039,10,76,
23,TH-23,Province,TH.TT,TH49,Q241884,1605277,1908829,https://en.wikipedia.org/wiki/Trat_province,Trat,ตราด,,East,Trat,ตราด,,,12.34526,102.516,2670.4,1669000.0,11.563,102.25175,12.75244,102.7876,258.3,22,true,Cambodia,true,134.4,23,039,7,38,
24,TH-24,Province,TH.CC,TH44,Q334906,1611438,1908767,https://en.wikipedia.org/wiki/Chachoengsao_province,Chachoengsao,ฉะเชิงเทรา,,East,Chachoengsao,ฉะเชิงเทรา,,,13.60756,101.43324,5206.2,3253875.0,13.18221,100.84839,13.96989,101.9889,88.7,10|11|13|20|22|25|26|27,false,,true,8.8,24,038,11,93,
25,TH-25,Province,TH.PB,TH74,Q321324,1906687,1908808,https://en.wikipedia.org/wiki/Prachinburi_province,Prachin Buri,ปราจีนบุรี,PrachinBuri,East,Prachin Buri,ปราจีนบุรี,,,14.05006,101.65961,4889.5,3055937.5,13.5856,101.1378,14.43802,102.11057,115.6,24|26|27|30,false,,false,,25,037,7,65,
26,TH-26,Province,TH.NN,TH43,Q466212,1608538,1908787,https://en.wikipedia.org/wiki/Nakhon_Nayok_province,Nakhon Nayok,นครนายก,NakhonNayok,Central,Nakhon Nayok,นครนายก,,,14.21268,101.17711,2177.2,1360750.0,13.96128,100.91422,14.51248,101.50178,77.2,13|19|24|25|30,false,,false,,26,037,4,41,
27,TH-27,Province,TH.SK,TH80,Q381889,1906691,2934605,https://en.wikipedia.org/wiki/Sa_Kaeo_province,Sa Kaeo,สระแก้ว,SaKaeo,East,Sa Kaeo,สระแก้ว,,,13.79118,102.32721,6650.9,4156812.5,13.23671,101.91052,14.17565,102.93036,183.4,22|24|25|30|31,true,Cambodia,false,,27,037,9,59,
30,TH-30,Province,TH.NR,TH27,Q271737,1608528,1908790,https://en.wikipedia.org/wiki/Nakhon_Ratchasima_province,Nakhon Ratchasima,นครราชสีมา,Khorat|Korat|Nakhon Rachisima|NakhonRatchasima,Northeast,Nakhon Ratchasima,นครราชสีมา,,,14.9568,102.11116,20748.6,12967875.0,14.12023,101.19895,15.80341,102.97834,207.4,16|19|25|26|27|31|36|40,false,,false,,30|36,044,32,289,
31,TH-31,Province,TH.BR,TH28,Q327510,1611452,1908766,https://en.wikipedia.org/wiki/Buriram_province,Buri Ram,บุรีรัมย์,BuriRam|Burirum,Northeast,Buri Ram,บุรีรัมย์,,,14.81078,102.95101,9926.6,6204125.0,14.13004,102.43453,15.79583,103.44263,275.8,27|30|32|40|44,true,Cambodia,false,,31,044,23,189,
32,TH-32,Province,TH.SU,TH29,Q380757,1606029,1908826,https://en.wikipedia.org/wiki/Surin_province,Surin,สุรินทร์,,Northeast,Surin,สุรินทร์,,,14.88766,103.65454,8943.1,5589437.5,14.32671,103.09148,15.48128,104.09177,349.0,31|33|44|45,true,Cambodia,false,,32,044,17,159,
33,TH-33,Province,TH.SI,TH30,Q380761,1606238,1908821,https://en.wikipedia.org/wiki/Sisaket_province,Si Sa Ket,ศรีสะเกษ,Si Saket|SiSaKet,Northeast,Si Sa Ket,ศรีสะเกษ,,,14.84931,104.37692,9101.0,5688125.0,14.34344,103.90336,15.56313,104.90711,421.4,32|34|35|45,true,Cambodia,false,,33,045,22,206,
34,TH-34,Province,TH.UR,TH75,Q629024,1906688,1908830,https://en.wikipedia.org/wiki/Ubon_Ratchathani_province,Ubon Ratchathani,อุบลราชธานี,UbonRatchathani,Northeast,Ubon Ratchathani,อุบลราชธานี,,,15.19503,105.11028,15367.9,9604937.5,14.23716,104.38592,16.09815,105.63463,507.9,33|35|37,true,Cambodia|Laos,false,,34,045,25,219,
35,TH-35,Province,TH.YS,TH72,Q506598,1604767,1908873,https://en.wikipedia.org/wiki/Yasothon_province,Yasothon,ยโสธร,,Northeast,Yasothon,ยโสธร,1972,34,15.89662,104.3366,4112.8,2570500.0,15.28931,104.0016,16.33747,104.814,463.6,33|34|37|45|49,false,,false,,35,045,9,79,
36,TH-36,Province,TH.CY,TH26,Q275377,1611406,1908769,https://en.wikipedia.org/wiki/Chaiyaphum_province,Chaiyaphum,ชัยภูมิ,,Northeast,Chaiyaphum,ชัยภูมิ,,,16.03175,101.82083,12561.3,7850812.5,15.3314,101.33632,16.72759,102.45887,282.6,16|30|40|67,false,,false,,36,044,16,124,
37,TH-37,Province,TH.AC,TH77,Q243791,1906689,2746948,https://en.wikipedia.org/wiki/Amnat_Charoen_province,Amnat Charoen,อำนาจเจริญ,AmnatCharoen,Northeast,Amnat Charoen,อำนาจเจริญ,,,15.90739,104.74225,3126.6,1954125.0,15.56393,104.41923,16.27913,105.06026,502.1,34|35|49,true,Laos,false,,37,045,7,56,
38,TH-38,Province,TH.BK,TH81,Q1001862,8133594,2934602,https://en.wikipedia.org/wiki/Bueng_Kan_province,Bueng Kan,บึงกาฬ,BuengKan|Bung Kan,Northeast,Bueng Kan,บึงกาฬ,2011,43,18.14875,103.72741,3968.5,2480312.5,17.8108,103.24391,18.44798,104.18998,589.2,43|47|48,true,Laos,false,,38,042,8,53,
39,TH-39,Province,TH.NB,TH79,Q261241,1906690,1925819,https://en.wikipedia.org/wiki/Nong_Bua_Lamphu_province,Nong Bua Lam Phu,หนองบัวลำภู,Nong Bua Lamphu|NongBuaLamPhu,Northeast,Nong Bua Lam Phu,หนองบัวลำภู,,,17.1842,102.30777,4070.8,2544250.0,16.77202,101.9875,17.67918,102.66933,420.5,40|41|42,false,,false,,39,042,6,59,
40,TH-40,Province,TH.KK,TH22,Q327533,1609775,1908778,https://en.wikipedia.org/wiki/Khon_Kaen_province,Khon Kaen,ขอนแก่น,KhonKaen,Northeast,Khon Kaen,ขอนแก่น,,,16.40759,102.57439,10601.6,6626000.0,15.63359,101.75082,16.99375,103.17507,360.4,30|31|36|39|41|42|44|46|67,false,,false,,40,043,26,199,
41,TH-41,Province,TH.UN,TH76,Q380752,1906686,1908831,https://en.wikipedia.org/wiki/Udon_Thani_province,Udon Thani,อุดรธานี,UdonThani,Northeast,Udon Thani,อุดรธานี,,,17.41933,102.86934,11099.9,6937437.5,16.80307,102.0178,18.08617,103.66807,471.7,39|40|42|43|46|47,false,,false,,41,042,20,156,
42,TH-42,Province,TH.LE,TH18,Q275388,1609070,1908783,https://en.wikipedia.org/wiki/Loei_province,Loei,เลย,,Northeast,Loei,เลย,,,17.4074,101.63113,10619.5,6637187.5,16.75988,100.83382,18.21351,102.15172,418.9,39|40|41|43|65|67,true,Laos,false,,42,042,14,90,
43,TH-43,Province,TH.NH,TH17,Q327737,1608231,1908795,https://en.wikipedia.org/wiki/Nong_Khai_province,Nong Khai,หนองคาย,NongKhai,Northeast,Nong Khai,หนองคาย,,,17.94294,102.83737,3436.1,2147562.5,17.59377,102.05514,18.30525,103.40515,521.0,38|41|42|47,true,Laos,false,,43,042,9,62,
44,TH-44,Province,TH.MS,TH24,Q468554,1608899,1908786,https://en.wikipedia.org/wiki/Maha_Sarakham_province,Maha Sarakham,มหาสารคาม,MahaSarakham,Northeast,Maha Sarakham,มหาสารคาม,,,15.99083,103.16696,5855.9,3659937.5,15.40896,102.84786,16.6436,103.50228,368.2,31|32|40|45|46,false,,false,,44,043,13,133,
45,TH-45,Province,TH.RE,TH25,Q625463,1607000,1908813,https://en.wikipedia.org/wiki/Roi_Et_province,Roi Et,ร้อยเอ็ด,RoiEt,Northeast,Roi Et,ร้อยเอ็ด,,,15.92535,103.82136,7741.2,4838250.0,15.40698,103.26712,16.46891,104.348,418.7,32|33|35|44|46|49,false,,false,,45,043,20,193,
46,TH-46,Province,TH.KL,TH23,Q382144,1610468,1908775,https://en.wikipedia.org/wiki/Kalasin_province,Kalasin,กาฬสินธุ์,,Northeast,Kalasin,กาฬสินธุ์,,,16.62506,103.61341,6663.5,4164687.5,16.19264,103.09812,17.05891,104.23786,451.2,40|41|44|45|47|49,false,,false,,46,043,18,135,
47,TH-47,Province,TH.SN,TH20,Q382125,1606789,1908814,https://en.wikipedia.org/wiki/Sakon_Nakhon_province,Sakon Nakhon,สกลนคร,SakonNakhon,Northeast,Sakon Nakhon,สกลนคร,,,17.38635,103.82659,9609.1,6005687.5,16.77656,103.27504,18.07433,104.43507,528.5,38|41|43|46|48|49,false,,false,,47,042,18,125,
